Timestamp,Outdoor_Temp,Is_Holiday,Hour,Energy_Demand_MW
2020-01-01 0:00:00,18.57641157,0,0,519.5241099
2020-01-01 1:00:00,40.57221738,1,1,631.5950389
2020-01-01 2:00:00,22.83261941,0,2,585.5256856
2020-01-01 3:00:00,33.29811978,0,3,756.2873059
2020-01-01 4:00:00,18.45378149,0,4,735.2729416
2020-01-01 5:00:00,19.30969141,0,5,722.8887414
2020-01-01 6:00:00,27.55180485,0,6,759.6882106
2020-01-01 7:00:00,28.25646649,0,7,714.3781711
2020-01-01 8:00:00,18.8693079,0,8,732.3189851
2020-01-01 9:00:00,-3.678375947,0,9,750.6173274
2020-01-01 10:00:00,18.32950567,0,10,612.6217819
2020-01-01 11:00:00,26.85397968,0,11,555.1656709
2020-01-01 12:00:00,20.23500108,0,12,457.3019439
2020-01-01 13:00:00,24.56201279,0,13,490.6896735
2020-01-01 14:00:00,22.70492782,0,14,400.4830946
2020-01-01 15:00:00,5.649918561,0,15,474.8427969
2020-01-01 16:00:00,28.82817146,0,16,399.9045025
2020-01-01 17:00:00,14.19918336,0,17,389.8971712
2020-01-01 18:00:00,14.98434696,0,18,338.5914075
2020-01-01 19:00:00,25.90953294,0,19,325.6782014
2020-01-01 20:00:00,12.6838375,0,20,361.3449806
2020-01-01 21:00:00,22.61755461,0,21,363.0929712
2020-01-01 22:00:00,11.44204421,0,22,462.3924139
2020-01-01 23:00:00,18.12474088,0,23,476.9603733
2020-01-02 0:00:00,16.26513711,0,0,554.2044006
2020-01-02 1:00:00,15.38029033,1,1,573.7607785
2020-01-02 2:00:00,11.83533896,0,2,615.0766824
2020-01-02 3:00:00,19.54876697,0,3,632.9537133
2020-01-02 4:00:00,21.21327776,0,4,707.957523
2020-01-02 5:00:00,29.2595278,0,5,700.4145952
2020-01-02 6:00:00,14.26180304,0,6,714.601615
2020-01-02 7:00:00,20.5270311,1,7,728.8265309
2020-01-02 8:00:00,42.07310587,0,8,788.6393449
2020-01-02 9:00:00,23.91821869,0,9,667.9666779
2020-01-02 10:00:00,24.82713428,0,10,621.0006301
2020-01-02 11:00:00,24.33334021,0,11,567.5789683
2020-01-02 12:00:00,2.957083058,0,12,562.4164949
2020-01-02 13:00:00,17.56091934,0,13,411.6066685
2020-01-02 14:00:00,-1.397037913,0,14,468.6035888
2020-01-02 15:00:00,28.61322653,0,15,391.6659082
2020-01-02 16:00:00,37.00284398,0,16,440.1437765
2020-01-02 17:00:00,14.71215197,1,17,324.834274
2020-01-02 18:00:00,37.63477917,0,18,445.0898722
2020-01-02 19:00:00,8.783921725,0,19,382.1065504
2020-01-02 20:00:00,8.080658332,0,20,417.6592383
2020-01-02 21:00:00,25.52731918,0,21,383.1500427
2020-01-02 22:00:00,11.84019051,0,22,403.8967779
2020-01-02 23:00:00,15.03353151,0,23,490.8703893
2020-01-03 0:00:00,30.86225563,0,0,560.7333158
2020-01-03 1:00:00,10.25324723,0,1,631.1203112
2020-01-03 2:00:00,17.17864182,0,2,562.4992647
2020-01-03 3:00:00,18.8278585,0,3,684.8446305
2020-01-03 4:00:00,23.78547266,0,4,705.8935715
2020-01-03 5:00:00,27.32194647,0,5,705.7032035
2020-01-03 6:00:00,18.96428965,1,6,739.7514423
2020-01-03 7:00:00,8.012937198,0,7,787.4815197
2020-01-03 8:00:00,30.10035576,0,8,753.8112971
2020-01-03 9:00:00,48.7536033,0,9,830.8617777
2020-01-03 10:00:00,28.20312644,0,10,611.1871582
2020-01-03 11:00:00,25.60611506,0,11,580.5235938
2020-01-03 12:00:00,16.24357801,0,12,520.0424628
2020-01-03 13:00:00,17.47895701,0,13,469.9310521
2020-01-03 14:00:00,6.103865528,0,14,440.7701239
2020-01-03 15:00:00,26.17332277,0,15,418.1911289
2020-01-03 16:00:00,18.64212952,0,16,357.4354791
2020-01-03 17:00:00,32.87904957,0,17,378.6783679
